code,name,lat,long,tambon,amphoe,province,basin,sub_basin
NBON,ทต.หนองบอน,12.677052,102.45956,หนองบอน,บ่อไร่,ตราด,ชายฝั่งทะเลตะวันออก,แม่น้ำเมืองตราด
NEAK,รร. บ้านหนองแอก,17.889479,103.21055,บ้านผือ,โพนพิสัย,หนองคาย,โขงตะวันออกเฉียงเหนือ,ห้วยหลวงส่วนที่ 2
NGBA,ทต.หนองบัว,15.870789,100.59733,หนองบัว,หนองบัว,นครสวรรค์,เจ้าพระยา,บึงบรเพ็ด
NGCG,ทต.หนองฉาง,15.388957,99.84503,หนองฉาง,หนองฉาง,อุทัยธานี,สะแกกรัง,แม่น้ำสะแกกรังตอนล่างส่วนที่ 3
NGCH,อบต.โบสถ์,15.27852,102.63899,โบสถ์,พิมาย,นครราชสีมา,มูล,ลำปลายมาศ
NGNG,อบต.หนองแหน,13.683341,101.32511,หนองแหน,พนมสารคาม,ฉะเชิงเทรา,บางปะกง,คลองท่าลาด
NGPH,ทต.หนองผือ,15.977614,105.03395,หนองผือ,เขมราฐ,อุบลราชธานี,โขงตะวันออกเฉียงเหนือ,แม่น้ำโขงตอนล่าง
NGPI,อบต.หนองไผ่,15.981682,101.07372,หนองไผ่,หนองไผ่,เพชรบูรณ์,ป่าสัก,แม่น้ำป่าสักส่วนที่ 3/1
NGSC,อบต.บ่อทอง,13.241681,101.48823,บ่อทอง,บ่อทอง,ชลบุรี,บางปะกง,คลองหลวง
NGSU,อบต.หนองบอนแดง,13.350206,101.15713,หนองบอนแดง,บ้านบึง,ชลบุรี,บางปะกง,ที่ราบแม่น้ำบางปะกงส่วนที่ 2
NKMT,อบต.บ่อแฮ้ว,18.31943,99.44665,บ่อแฮ้ว,เมืองลำปาง,ลำปาง,วัง,น้ำแม่ตุ๋ย
NKNN,อบต.นิคมน้ำอูน,17.204111,103.687035,นิคมน้ำอูน,นิคมน้ำอูน,สกลนคร,โขงตะวันออกเฉียงเหนือ,ห้วยน้ำอูน
NKO001,ทุ่งสง,8.174972,99.67887,ปากแพรก,ทุ่งสง,นครศรีธรรมราช,ภาคใต้ฝั่งตะวันตก,แม่น้ำตรัง
NKO002,เชียรใหญ่,8.089507,100.12789,การะเกด,เชียรใหญ่,นครศรีธรรมราช,ภาคใต้ฝั่งตะวันออกตอนบน,ภาคใต้ฝั่งตะวันออกส่วนที่ 4
NKO003,ถ้ำพรรณรา,8.391203,99.3952,ถ้ำพรรณรา,ถ้ำพรรณรา,นครศรีธรรมราช,ภาคใต้ฝั่งตะวันออกตอนบน,แม่น้ำตาปีตอนบนส่วนที่ 2
NKO004,ทุ่งใหญ่,8.414569,99.24979,บางรูป,ทุ่งใหญ่,นครศรีธรรมราช,ภาคใต้ฝั่งตะวันออกตอนบน,คลองสินปุน
NKOK,อบต.คลองตะเกรา,13.419944,101.64103,คลองตะเกรา,ท่าตะเกียบ,ฉะเชิงเทรา,บางปะกง,คลองท่าลาด
NKSG,อบต.ด่านจาก,15.165602,102.087746,ด่านจาก,โนนไทย,นครราชสีมา,มูล,ลำเชิงไกร
NKTI,ทต.นครไทย,17.101046,100.82921,นครไทย,นครไทย,พิษณุโลก,น่าน,แม่น้ำแควน้อยส่วนที่ 1
NKTP,ทต.บะยาว,17.08084,103.39911,บะยาว,วังสามหมอ,อุดรธานี,ชี,ลำปาวตอนบน
